sample_id,source_form,clean_form_id,anomaly_type,clean_score,synthetic_score,score_change,relative_change
synthetic_form_00001,m04-222,m04-222,thinning,0.733961284160614,0.570491373538971,-0.16346991062164307,-0.2227227946789666
synthetic_form_00002,b05-098,b05-098,thickening,1.3975980281829834,1.04507315158844,-0.35252487659454346,-0.25223624172574033
synthetic_form_00003,g06-042d,g06-042d,thinning,1.3699231147766113,0.6463135480880737,-0.7236095666885376,-0.5282118051744942
synthetic_form_00004,h07-054a,h07-054a,thinning,0.692136287689209,0.5334256887435913,-0.15871059894561768,-0.2293054120633386
synthetic_form_00005,d01-024,d01-024,thickening,1.5656569004058838,1.2266653776168823,-0.33899152278900146,-0.21651711849253147
synthetic_form_00006,p02-081,p02-081,thinning,1.1580477952957153,1.2617342472076416,0.10368645191192627,0.08953555409178401
synthetic_form_00007,f07-028b,f07-028b,thickening,1.6095892190933228,0.8920823335647583,-0.7175068855285645,-0.44577018319930867
synthetic_form_00008,f07-084a,f07-084a,dropout,1.3087102174758911,0.8048257827758789,-0.5038844347000122,-0.38502368524455866
synthetic_form_00009,k02-023,k02-023,blur,1.1547342538833618,0.9775876998901367,-0.1771465539932251,-0.15340893531424513
synthetic_form_00010,m04-030,m04-030,thinning,1.0945526361465454,0.7462702393531799,-0.3482823967933655,-0.31819611237478596
synthetic_form_00011,a02-116,a02-116,thickening,0.5113774538040161,0.38922932744026184,-0.12214812636375427,-0.2388609882319084
synthetic_form_00012,b01-027,b01-027,blur,1.0271556377410889,0.9411250352859497,-0.08603060245513916,-0.0837561499509221
synthetic_form_00013,c03-000a,c03-000a,blur,1.0808109045028687,0.827705979347229,-0.25310492515563965,-0.2341805784521136
synthetic_form_00014,p02-131,p02-131,thinning,1.1050471067428589,1.0193583965301514,-0.08568871021270752,-0.07754303768085123
synthetic_form_00015,c03-000b,c03-000b,thinning,1.0923584699630737,0.6560057401657104,-0.4363527297973633,-0.3994592780678682
synthetic_form_00016,a03-066,a03-066,blur,1.002940058708191,0.9592050909996033,-0.043734967708587646,-0.04360676083558937
synthetic_form_00017,g06-026l,g06-026l,blur,1.079819679260254,0.9073951244354248,-0.1724245548248291,-0.15967902469249384
synthetic_form_00018,c06-058,c06-058,dropout,0.462715208530426,0.72861647605896,0.26590126752853394,0.5746542514271108
synthetic_form_00019,b06-023,b06-023,blur,0.7198535203933716,0.6724995374679565,-0.04735398292541504,-0.06578280292594793
synthetic_form_00020,r06-070,r06-070,blur,0.7113266587257385,0.6996786594390869,-0.011647999286651611,-0.0163750352668735
synthetic_form_00021,d01-016,d01-016,thickening,1.5696808099746704,0.7228739857673645,-0.8468068242073059,-0.5394770793090092
synthetic_form_00022,b01-136,b01-136,dropout,0.3658367693424225,0.29740580916404724,-0.06843096017837524,-0.1870532544633081
synthetic_form_00023,l07-085,l07-085,dropout,0.7430969476699829,0.8866739869117737,0.14357703924179077,0.193214408644578
synthetic_form_00024,j06-014,j06-014,thickening,1.4029033184051514,0.8939921259880066,-0.5089111924171448,-0.3627557096152058
synthetic_form_00025,k02-029,k02-029,thickening,1.4922622442245483,1.491655707359314,-0.000606536865234375,-0.0004064546050918918
synthetic_form_00026,g06-045m,g06-045m,blur,0.9246360063552856,0.7451956868171692,-0.17944031953811646,-0.19406589875812022
synthetic_form_00027,h07-030a,h07-030a,blur,1.0584732294082642,0.819453775882721,-0.2390194535255432,-0.22581530134778488
synthetic_form_00028,m04-216,m04-216,thinning,0.883735716342926,1.087249517440796,0.20351380109786987,0.23028807711559926
synthetic_form_00029,c02-078,c02-078,thickening,0.4204421937465668,0.5261663794517517,0.10572418570518494,0.2514594985067511
synthetic_form_00030,f04-057,f04-057,blur,0.39399242401123047,0.6356792449951172,0.24168682098388672,0.6134301070791568
synthetic_form_00031,f01-085,f01-085,thickening,0.806523859500885,0.8572249412536621,0.0507010817527771,0.06286370889946917
synthetic_form_00032,r02-137,r02-137,thinning,0.9775829911231995,0.9359833598136902,-0.04159963130950928,-0.042553554288191534
synthetic_form_00033,n02-120,n02-120,blur,0.8296080827713013,0.7158267498016357,-0.11378133296966553,-0.13715070279700334
synthetic_form_00034,j06-000,j06-000,thinning,0.9312938451766968,0.7888525128364563,-0.14244133234024048,-0.15294993255723213
synthetic_form_00035,g06-026h,g06-026h,dropout,0.8310452103614807,0.7374140620231628,-0.09363114833831787,-0.11266673105657357
synthetic_form_00036,j01-066,j01-066,thinning,0.8279769420623779,0.9109410643577576,0.08296412229537964,0.10020100449502524
synthetic_form_00037,f07-036,f07-036,thinning,1.8142600059509277,0.93548184633255,-0.8787781596183777,-0.4843727756177078
synthetic_form_00038,a01-020,a01-020,thinning,0.48412564396858215,0.6573455929756165,0.1732199490070343,0.35779956626358744
synthetic_form_00039,a01-132u,a01-132u,thinning,1.0801613330841064,1.0428214073181152,-0.03733992576599121,-0.03456884103941105
synthetic_form_00040,n04-009,n04-009,thinning,0.6084116101264954,0.5435692667961121,-0.0648423433303833,-0.10657643803203803
synthetic_form_00041,d06-003,d06-003,thinning,0.7131970524787903,0.42712053656578064,-0.28607651591300964,-0.4011184719672303
synthetic_form_00042,a06-152,a06-152,dropout,0.9172137975692749,0.8428332209587097,-0.07438057661056519,-0.08109404371886039
synthetic_form_00043,g07-044,g07-044,thickening,1.1668213605880737,0.816779613494873,-0.3500417470932007,-0.29999600274443117
synthetic_form_00044,r02-078,r02-078,thinning,0.5281124114990234,0.5081483721733093,-0.01996403932571411,-0.03780263162348479
